day,month,year,hour,humidity
1,1,1990,0,78
1,1,1990,1,81
1,1,1990,2,81
1,1,1990,3,80
1,1,1990,4,80
1,1,1990,5,79
1,1,1990,6,79
1,1,1990,7,81
1,1,1990,8,83
1,1,1990,9,85
1,1,1990,10,86
1,1,1990,11,88
1,1,1990,12,90
1,1,1990,13,90
1,1,1990,14,88
1,1,1990,15,88
1,1,1990,16,90
1,1,1990,17,90
1,1,1990,18,88
1,1,1990,19,86
1,1,1990,20,82
1,1,1990,21,81
1,1,1990,22,82
1,1,1990,23,83
2,1,1990,0,82
2,1,1990,1,83
2,1,1990,2,83
2,1,1990,3,84
2,1,1990,4,82
2,1,1990,5,83
2,1,1990,6,85
2,1,1990,7,86
2,1,1990,8,86
2,1,1990,9,86
2,1,1990,10,84
2,1,1990,11,86
2,1,1990,12,85
2,1,1990,13,81
2,1,1990,14,81
2,1,1990,15,83
2,1,1990,16,82
2,1,1990,17,82
2,1,1990,18,84
2,1,1990,19,85
2,1,1990,20,84
2,1,1990,21,85
2,1,1990,22,85
2,1,1990,23,86
3,1,1990,0,85
3,1,1990,1,86
3,1,1990,2,86
3,1,1990,3,88
3,1,1990,4,82
3,1,1990,5,84
3,1,1990,6,82
3,1,1990,7,79
3,1,1990,8,84
3,1,1990,9,85
3,1,1990,10,73
3,1,1990,11,70
3,1,1990,12,68
3,1,1990,13,75
3,1,1990,14,73
3,1,1990,15,67
3,1,1990,16,72
3,1,1990,17,77
3,1,1990,18,81
3,1,1990,19,81
3,1,1990,20,85
3,1,1990,21,87
3,1,1990,22,90
3,1,1990,23,90
4,1,1990,0,89
4,1,1990,1,84
4,1,1990,2,85
4,1,1990,3,82
4,1,1990,4,82
4,1,1990,5,79
4,1,1990,6,77
4,1,1990,7,73
4,1,1990,8,71
4,1,1990,9,72
4,1,1990,10,74
4,1,1990,11,73
4,1,1990,12,70
4,1,1990,13,70
4,1,1990,14,69
4,1,1990,15,73
4,1,1990,16,72
4,1,1990,17,75
4,1,1990,18,76
4,1,1990,19,76
4,1,1990,20,77
4,1,1990,21,77
4,1,1990,22,80
4,1,1990,23,80
5,1,1990,0,80
5,1,1990,1,81
5,1,1990,2,82
5,1,1990,3,82
5,1,1990,4,83
5,1,1990,5,84
5,1,1990,6,88
5,1,1990,7,94
5,1,1990,8,96
5,1,1990,9,96
5,1,1990,10,97
5,1,1990,11,99
5,1,1990,12,97
5,1,1990,13,94
5,1,1990,14,95
5,1,1990,15,100
5,1,1990,16,96
5,1,1990,17,96
5,1,1990,18,97
5,1,1990,19,96
5,1,1990,20,95
5,1,1990,21,95
5,1,1990,22,96
5,1,1990,23,96
6,1,1990,0,95
6,1,1990,1,97
6,1,1990,2,97
6,1,1990,3,97
6,1,1990,4,96
6,1,1990,5,96
6,1,1990,6,95
6,1,1990,7,94
6,1,1990,8,92
6,1,1990,9,90
6,1,1990,10,92
6,1,1990,11,91
6,1,1990,12,92
6,1,1990,13,87
6,1,1990,14,86
6,1,1990,15,85
6,1,1990,16,87
6,1,1990,17,88
6,1,1990,18,85
6,1,1990,19,84
6,1,1990,20,89
6,1,1990,21,88
6,1,1990,22,88
6,1,1990,23,88
7,1,1990,0,89
7,1,1990,1,87
7,1,1990,2,92
7,1,1990,3,90
7,1,1990,4,92
7,1,1990,5,90
7,1,1990,6,91
7,1,1990,7,89
7,1,1990,8,85
7,1,1990,9,84
7,1,1990,10,89
7,1,1990,11,85
7,1,1990,12,92
7,1,1990,13,92
7,1,1990,14,93
7,1,1990,15,93
7,1,1990,16,94
7,1,1990,17,95
7,1,1990,18,88
7,1,1990,19,89
7,1,1990,20,86
7,1,1990,21,85
7,1,1990,22,85
7,1,1990,23,89
8,1,1990,0,90
8,1,1990,1,88
8,1,1990,2,89
8,1,1990,3,88
8,1,1990,4,86
8,1,1990,5,84
8,1,1990,6,83
8,1,1990,7,85
8,1,1990,8,82
8,1,1990,9,82
8,1,1990,10,84
8,1,1990,11,81
8,1,1990,12,81
8,1,1990,13,84
8,1,1990,14,85
8,1,1990,15,89
8,1,1990,16,88
8,1,1990,17,92
8,1,1990,18,88
8,1,1990,19,87
8,1,1990,20,91
8,1,1990,21,93
8,1,1990,22,95
8,1,1990,23,97
9,1,1990,0,97
9,1,1990,1,96
9,1,1990,2,100
9,1,1990,3,100
9,1,1990,4,100
9,1,1990,5,100
9,1,1990,6,98
9,1,1990,7,98
9,1,1990,8,100
9,1,1990,9,96
9,1,1990,10,100
9,1,1990,11,99
9,1,1990,12,100
9,1,1990,13,100
9,1,1990,14,100
9,1,1990,15,97
9,1,1990,16,92
9,1,1990,17,91
9,1,1990,18,91
9,1,1990,19,93
9,1,1990,20,93
9,1,1990,21,94
9,1,1990,22,93
9,1,1990,23,94
10,1,1990,0,94
10,1,1990,1,92
10,1,1990,2,92
10,1,1990,3,93
10,1,1990,4,95
10,1,1990,5,95
10,1,1990,6,95
10,1,1990,7,100
10,1,1990,8,98
10,1,1990,9,100
10,1,1990,10,100
10,1,1990,11,99
10,1,1990,12,99
10,1,1990,13,97
10,1,1990,14,97
10,1,1990,15,93
10,1,1990,16,91
10,1,1990,17,89
10,1,1990,18,90
10,1,1990,19,92
10,1,1990,20,91
10,1,1990,21,91
10,1,1990,22,88
10,1,1990,23,88
11,1,1990,0,89
11,1,1990,1,86
11,1,1990,2,86
11,1,1990,3,86
11,1,1990,4,86
11,1,1990,5,89
11,1,1990,6,91
11,1,1990,7,91
11,1,1990,8,87
11,1,1990,9,85
11,1,1990,10,84
11,1,1990,11,83
11,1,1990,12,84
11,1,1990,13,82
11,1,1990,14,82
11,1,1990,15,81
11,1,1990,16,82
11,1,1990,17,82
11,1,1990,18,82
11,1,1990,19,84
11,1,1990,20,86
11,1,1990,21,93
11,1,1990,22,95
11,1,1990,23,100
12,1,1990,0,97
12,1,1990,1,97
12,1,1990,2,95
