day,month,year,hour,temp
1,1,2019,0,8.14
1,1,2019,1,8.21
1,1,2019,2,8.15
1,1,2019,3,8.05
1,1,2019,4,8.0
1,1,2019,5,7.86
1,1,2019,6,7.64
1,1,2019,7,7.39
1,1,2019,8,7.23
1,1,2019,9,7.16
1,1,2019,10,7.04
1,1,2019,11,7.16
1,1,2019,11,7.16
1,1,2019,12,7.89
1,1,2019,13,8.02
1,1,2019,14,7.94
1,1,2019,15,7.33
1,1,2019,16,6.16
1,1,2019,17,5.84
1,1,2019,18,5.05
1,1,2019,19,5.2
1,1,2019,20,4.86
1,1,2019,21,5.05
1,1,2019,22,4.98
1,1,2019,23,4.42
2,1,2019,0,3.96
2,1,2019,1,3.27
2,1,2019,2,3.11
2,1,2019,3,3.06
2,1,2019,4,3.07
2,1,2019,5,3.18
2,1,2019,6,3.06
2,1,2019,7,3.08
2,1,2019,8,3.33
2,1,2019,9,3.31
2,1,2019,10,2.61
2,1,2019,11,1.56
2,1,2019,11,1.56
2,1,2019,12,2.74
2,1,2019,13,3.73
2,1,2019,14,3.47
2,1,2019,15,3.23
2,1,2019,16,2.34
2,1,2019,17,2.07
2,1,2019,18,1.69
2,1,2019,19,0.93
2,1,2019,20,0.36
2,1,2019,21,-0.52
2,1,2019,22,-0.61
2,1,2019,23,-1.33
3,1,2019,0,-1.47
3,1,2019,1,-1.67
3,1,2019,2,-1.68
3,1,2019,3,-1.46
3,1,2019,4,-1.38
3,1,2019,5,-1.18
3,1,2019,6,-0.92
3,1,2019,7,-0.37
3,1,2019,8,-0.19
3,1,2019,9,0.22
3,1,2019,10,0.55
3,1,2019,11,1.03
3,1,2019,12,1.26
3,1,2019,13,1.61
3,1,2019,14,2.11
3,1,2019,15,2.03
3,1,2019,16,1.15
3,1,2019,17,0.11
3,1,2019,18,0.45
3,1,2019,19,-0.07
3,1,2019,20,-0.85
3,1,2019,21,-1.44
3,1,2019,22,-2.01
3,1,2019,23,-1.99
4,1,2019,0,-1.66
4,1,2019,1,-0.86
4,1,2019,2,-0.56
4,1,2019,3,-0.49
4,1,2019,4,-0.1
4,1,2019,5,-0.28
4,1,2019,6,-0.01
4,1,2019,7,0.11
4,1,2019,8,0.52
4,1,2019,9,0.61
4,1,2019,9,0.61
4,1,2019,10,1.19
4,1,2019,11,1.45
4,1,2019,11,1.45
4,1,2019,12,2.02
4,1,2019,12,2.02
4,1,2019,13,2.29
4,1,2019,14,2.79
4,1,2019,15,2.97
4,1,2019,15,2.97
4,1,2019,15,2.97
4,1,2019,16,3.06
4,1,2019,16,3.06
4,1,2019,17,3.24
4,1,2019,18,3.54
4,1,2019,19,3.71
4,1,2019,20,3.73
4,1,2019,21,3.84
4,1,2019,22,4.08
4,1,2019,23,4.83
5,1,2019,0,4.92
5,1,2019,1,5.1
5,1,2019,2,5.22
5,1,2019,3,5.73
5,1,2019,3,5.73
5,1,2019,4,5.85
5,1,2019,4,5.85
5,1,2019,5,6.17
5,1,2019,6,6.72
5,1,2019,7,6.8
5,1,2019,8,6.81
5,1,2019,9,6.84
5,1,2019,10,6.98
5,1,2019,11,7.72
5,1,2019,12,8.0
5,1,2019,13,8.0
5,1,2019,14,7.97
5,1,2019,15,7.76
5,1,2019,16,7.06
5,1,2019,17,6.43
5,1,2019,18,6.0
5,1,2019,19,5.77
5,1,2019,20,5.04
5,1,2019,21,4.32
5,1,2019,22,3.27
5,1,2019,23,2.3
6,1,2019,0,2.8
6,1,2019,1,2.65
6,1,2019,2,2.56
6,1,2019,3,1.88
6,1,2019,4,1.74
6,1,2019,5,1.58
6,1,2019,6,1.7
6,1,2019,7,1.42
6,1,2019,8,1.45
6,1,2019,9,1.95
6,1,2019,10,2.31
6,1,2019,11,2.89
6,1,2019,12,3.69
6,1,2019,13,3.81
6,1,2019,14,3.75
6,1,2019,15,3.8
6,1,2019,16,2.9
6,1,2019,17,2.44
6,1,2019,18,2.47
6,1,2019,19,2.3
6,1,2019,20,2.17
6,1,2019,21,2.01
6,1,2019,22,1.77
6,1,2019,23,1.76
7,1,2019,0,1.34
7,1,2019,1,1.06
7,1,2019,2,0.5
7,1,2019,3,0.72
7,1,2019,4,0.71
7,1,2019,5,1.06
7,1,2019,6,1.21
7,1,2019,6,1.21
7,1,2019,7,1.39
7,1,2019,7,1.39
7,1,2019,8,1.75
7,1,2019,8,1.75
7,1,2019,8,1.75
7,1,2019,9,1.72
7,1,2019,9,1.72
7,1,2019,10,2.4
7,1,2019,10,2.4
7,1,2019,11,2.91
7,1,2019,11,2.91
7,1,2019,12,3.96
7,1,2019,12,3.96
7,1,2019,13,4.76
7,1,2019,13,4.76
7,1,2019,13,4.76
7,1,2019,14,5.26
7,1,2019,14,5.26
7,1,2019,15,5.27
7,1,2019,16,5.19
7,1,2019,17,4.95
7,1,2019,18,4.89
7,1,2019,19,4.97
7,1,2019,20,4.75
7,1,2019,20,4.75
7,1,2019,21,4.99
7,1,2019,21,4.99
7,1,2019,22,4.97
7,1,2019,23,4.96
8,1,2019,0,5.06
8,1,2019,1,5.01
