day,month,year,hour,humidity
1,1,2019,0,93
1,1,2019,1,93
1,1,2019,2,93
1,1,2019,3,87
1,1,2019,4,87
1,1,2019,5,87
1,1,2019,6,87
1,1,2019,7,87
1,1,2019,8,87
1,1,2019,9,87
1,1,2019,10,93
1,1,2019,11,93
1,1,2019,11,93
1,1,2019,12,87
1,1,2019,13,71
1,1,2019,14,66
1,1,2019,15,76
1,1,2019,16,75
1,1,2019,17,81
1,1,2019,18,70
1,1,2019,19,70
1,1,2019,20,70
1,1,2019,21,65
1,1,2019,22,65
1,1,2019,23,65
2,1,2019,0,70
2,1,2019,1,75
2,1,2019,2,75
2,1,2019,3,70
2,1,2019,4,70
2,1,2019,5,70
2,1,2019,6,65
2,1,2019,7,65
2,1,2019,8,60
2,1,2019,9,56
2,1,2019,10,65
2,1,2019,11,93
2,1,2019,11,93
2,1,2019,12,70
2,1,2019,13,48
2,1,2019,14,44
2,1,2019,15,48
2,1,2019,16,55
2,1,2019,17,51
2,1,2019,18,37
2,1,2019,19,47
2,1,2019,20,55
2,1,2019,21,59
2,1,2019,22,64
2,1,2019,23,69
3,1,2019,0,69
3,1,2019,1,74
3,1,2019,2,74
3,1,2019,3,80
3,1,2019,4,74
3,1,2019,5,86
3,1,2019,6,80
3,1,2019,7,80
3,1,2019,8,74
3,1,2019,9,74
3,1,2019,10,74
3,1,2019,11,69
3,1,2019,12,75
3,1,2019,13,75
3,1,2019,14,75
3,1,2019,15,75
3,1,2019,16,80
3,1,2019,17,86
3,1,2019,18,86
3,1,2019,19,86
3,1,2019,20,86
3,1,2019,21,93
3,1,2019,22,86
3,1,2019,23,86
4,1,2019,0,86
4,1,2019,1,86
4,1,2019,2,93
4,1,2019,3,93
4,1,2019,4,93
4,1,2019,5,100
4,1,2019,6,93
4,1,2019,7,93
4,1,2019,8,93
4,1,2019,9,100
4,1,2019,9,100
4,1,2019,10,93
4,1,2019,11,100
4,1,2019,11,100
4,1,2019,12,93
4,1,2019,12,93
4,1,2019,13,100
4,1,2019,14,93
4,1,2019,15,93
4,1,2019,15,93
4,1,2019,15,93
4,1,2019,16,93
4,1,2019,16,93
4,1,2019,17,100
4,1,2019,18,93
4,1,2019,19,87
4,1,2019,20,93
4,1,2019,21,93
4,1,2019,22,93
4,1,2019,23,93
5,1,2019,0,93
5,1,2019,1,93
5,1,2019,2,100
5,1,2019,3,93
5,1,2019,3,93
5,1,2019,4,93
5,1,2019,4,93
5,1,2019,5,100
5,1,2019,6,93
5,1,2019,7,93
5,1,2019,8,93
5,1,2019,9,93
5,1,2019,10,93
5,1,2019,11,81
5,1,2019,12,81
5,1,2019,13,81
5,1,2019,14,81
5,1,2019,15,81
5,1,2019,16,81
5,1,2019,17,81
5,1,2019,18,87
5,1,2019,19,87
5,1,2019,20,81
5,1,2019,21,87
5,1,2019,22,81
5,1,2019,23,93
6,1,2019,0,87
6,1,2019,1,93
6,1,2019,2,93
6,1,2019,3,87
6,1,2019,4,93
6,1,2019,5,93
6,1,2019,6,93
6,1,2019,7,93
6,1,2019,8,93
6,1,2019,9,80
6,1,2019,10,80
6,1,2019,11,80
6,1,2019,12,75
6,1,2019,13,81
6,1,2019,14,75
6,1,2019,15,75
6,1,2019,16,81
6,1,2019,17,81
6,1,2019,18,81
6,1,2019,19,87
6,1,2019,20,87
6,1,2019,21,87
6,1,2019,22,93
6,1,2019,23,93
7,1,2019,0,93
7,1,2019,1,93
7,1,2019,2,100
7,1,2019,3,93
7,1,2019,4,100
7,1,2019,5,93
7,1,2019,6,100
7,1,2019,6,100
7,1,2019,7,93
7,1,2019,7,93
7,1,2019,8,100
7,1,2019,8,100
7,1,2019,8,100
7,1,2019,9,100
7,1,2019,9,100
7,1,2019,10,93
7,1,2019,10,93
7,1,2019,11,100
7,1,2019,11,100
7,1,2019,12,93
7,1,2019,12,93
7,1,2019,13,93
7,1,2019,13,93
7,1,2019,13,93
7,1,2019,14,93
7,1,2019,14,93
7,1,2019,15,93
7,1,2019,16,93
7,1,2019,17,93
7,1,2019,18,87
7,1,2019,19,93
7,1,2019,20,93
7,1,2019,20,93
7,1,2019,21,93
7,1,2019,21,93
7,1,2019,22,93
7,1,2019,23,93
8,1,2019,0,93
8,1,2019,1,93
8,1,2019,1,93
8,1,2019,2,93
8,1,2019,3,93
8,1,2019,3,93
8,1,2019,4,93
8,1,2019,5,87
8,1,2019,6,93
8,1,2019,7,87
8,1,2019,8,87
8,1,2019,9,87
8,1,2019,10,87
8,1,2019,11,87
8,1,2019,12,87
8,1,2019,13,87
8,1,2019,14,93
8,1,2019,15,87
8,1,2019,16,87
8,1,2019,17,93
8,1,2019,18,87
8,1,2019,19,81
8,1,2019,20,87
8,1,2019,21,87
8,1,2019,22,87
8,1,2019,23,87
9,1,2019,0,87
9,1,2019,1,93
9,1,2019,1,93
9,1,2019,2,93
9,1,2019,2,93
9,1,2019,3,93
9,1,2019,4,87
9,1,2019,5,87
9,1,2019,6,87
9,1,2019,7,87
9,1,2019,8,93
9,1,2019,9,93
9,1,2019,9,93
9,1,2019,10,93
9,1,2019,10,93
9,1,2019,11,87
9,1,2019,11,87
9,1,2019,12,87
9,1,2019,13,93
9,1,2019,14,93
9,1,2019,15,81
9,1,2019,16,87
9,1,2019,17,87
9,1,2019,18,93
9,1,2019,19,93
9,1,2019,19,93
9,1,2019,20,93
9,1,2019,21,93
9,1,2019,21,93
9,1,2019,22,93
9,1,2019,22,93
9,1,2019,23,93
9,1,2019,23,93
10,1,2019,0,93
10,1,2019,0,93
10,1,2019,1,93
10,1,2019,1,93
10,1,2019,2,93
10,1,2019,3,93
10,1,2019,3,93
10,1,2019,4,87
10,1,2019,5,87
10,1,2019,6,86
10,1,2019,7,86
10,1,2019,8,86
10,1,2019,9,80
10,1,2019,10,80
10,1,2019,11,80
10,1,2019,12,75
10,1,2019,13,69
10,1,2019,14,69
10,1,2019,15,69
10,1,2019,16,69
10,1,2019,17,69
10,1,2019,18,69
10,1,2019,19,75
10,1,2019,20,80
10,1,2019,21,80
10,1,2019,22,80
10,1,2019,23,80
11,1,2019,0,80
11,1,2019,1,80
11,1,2019,2,80
11,1,2019,3,86
11,1,2019,4,86
11,1,2019,5,93
11,1,2019,6,93
11,1,2019,7,100
11,1,2019,8,100
11,1,2019,9,93
11,1,2019,9,93
11,1,2019,10,93
11,1,2019,10,93
11,1,2019,11,100
11,1,2019,11,100
11,1,2019,12,93
11,1,2019,12,93
11,1,2019,12,93
11,1,2019,13,100
11,1,2019,13,100
11,1,2019,13,100
11,1,2019,14,93
11,1,2019,14,93
11,1,2019,15,93
11,1,2019,15,93
11,1,2019,15,93
11,1,2019,16,100
11,1,2019,16,100
11,1,2019,17,93
11,1,2019,17,93
11,1,2019,18,100
11,1,2019,19,93
11,1,2019,20,87
11,1,2019,21,87
11,1,2019,22,93
11,1,2019,23,93
12,1,2019,0,87
12,1,2019,1,81
12,1,2019,2,81
12,1,2019,3,81
12,1,2019,4,87
12,1,2019,5,87
12,1,2019,6,87
12,1,2019,7,75
12,1,2019,8,75
12,1,2019,9,87
12,1,2019,10,87
12,1,2019,11,93
12,1,2019,11,93
12,1,2019,12,87
12,1,2019,13,87
12,1,2019,14,81
12,1,2019,15,81
12,1,2019,16,93
12,1,2019,16,93
12,1,2019,17,93
12,1,2019,18,93
12,1,2019,19,93
12,1,2019,19,93
12,1,2019,20,93
12,1,2019,21,87
12,1,2019,22,87
12,1,2019,23,93
13,1,2019,0,87
13,1,2019,1,87
13,1,2019,2,87
13,1,2019,3,81
13,1,2019,4,81
13,1,2019,5,93
13,1,2019,6,93
13,1,2019,7,93
13,1,2019,7,93
13,1,2019,8,87
13,1,2019,9,87
13,1,2019,10,87
13,1,2019,11,93
13,1,2019,12,93
13,1,2019,13,93
13,1,2019,13,93
13,1,2019,14,93
13,1,2019,14,93
13,1,2019,15,93
13,1,2019,15,93
13,1,2019,16,93
13,1,2019,17,93
13,1,2019,18,93
13,1,2019,19,93
13,1,2019,20,87
13,1,2019,21,87
13,1,2019,22,81
13,1,2019,23,87
14,1,2019,0,81
14,1,2019,1,75
14,1,2019,2,70
14,1,2019,3,75
14,1,2019,4,70
14,1,2019,5,70
14,1,2019,6,65
14,1,2019,7,60
14,1,2019,8,75
14,1,2019,9,60
14,1,2019,10,64
14,1,2019,11,56
14,1,2019,12,56
14,1,2019,13,52
14,1,2019,14,52
14,1,2019,15,64
14,1,2019,16,60
14,1,2019,17,55
14,1,2019,18,59
14,1,2019,19,59
14,1,2019,20,64
14,1,2019,21,69
14,1,2019,22,69
14,1,2019,23,75
15,1,2019,0,75
15,1,2019,1,75
15,1,2019,2,75
15,1,2019,3,75
15,1,2019,4,75
15,1,2019,5,75
15,1,2019,6,80
15,1,2019,7,75
15,1,2019,8,75
15,1,2019,9,75
