day,month,year,hour,temp
1,1,2000,0,-0.73
1,1,2000,1,-0.85
1,1,2000,2,-0.65
1,1,2000,3,-0.77
1,1,2000,4,-0.78
1,1,2000,5,-0.45
1,1,2000,6,-0.49
1,1,2000,7,-0.51
1,1,2000,8,-0.28
1,1,2000,9,-0.06
1,1,2000,10,-0.02
1,1,2000,11,0.43
1,1,2000,12,0.75
1,1,2000,13,1.18
1,1,2000,14,1.16
1,1,2000,15,1.11
1,1,2000,16,1.12
1,1,2000,17,1.11
1,1,2000,18,1.12
1,1,2000,19,1.32
1,1,2000,20,1.34
1,1,2000,21,1.54
1,1,2000,22,1.83
1,1,2000,23,2.04
2,1,2000,0,2.6
2,1,2000,1,3.17
2,1,2000,2,3.59
2,1,2000,3,3.82
2,1,2000,4,3.81
2,1,2000,5,3.69
2,1,2000,6,3.72
2,1,2000,7,3.55
2,1,2000,8,3.49
2,1,2000,9,3.36
2,1,2000,10,3.3
2,1,2000,11,3.12
2,1,2000,12,3.2
2,1,2000,13,3.48
2,1,2000,14,3.78
2,1,2000,15,3.85
2,1,2000,16,3.87
2,1,2000,17,3.59
2,1,2000,18,3.54
2,1,2000,19,3.7
2,1,2000,20,3.95
2,1,2000,21,4.15
2,1,2000,22,4.21
2,1,2000,23,4.31
3,1,2000,0,4.36
3,1,2000,1,4.47
3,1,2000,2,4.54
3,1,2000,3,4.59
3,1,2000,4,4.58
3,1,2000,5,4.59
3,1,2000,6,4.68
3,1,2000,7,4.99
3,1,2000,8,5.15
3,1,2000,9,5.04
3,1,2000,10,4.94
3,1,2000,11,5.18
3,1,2000,12,5.37
3,1,2000,13,5.81
3,1,2000,14,6.21
3,1,2000,15,6.35
3,1,2000,16,6.59
3,1,2000,17,6.64
3,1,2000,18,6.6
3,1,2000,19,6.49
3,1,2000,20,6.36
3,1,2000,21,6.27
3,1,2000,22,6.2
3,1,2000,23,6.31
4,1,2000,0,6.27
4,1,2000,1,6.22
4,1,2000,2,6.16
4,1,2000,3,5.95
4,1,2000,4,5.76
4,1,2000,5,5.78
4,1,2000,6,5.72
4,1,2000,7,5.64
4,1,2000,8,5.56
4,1,2000,9,5.49
4,1,2000,10,5.46
4,1,2000,11,5.64
4,1,2000,12,5.76
4,1,2000,13,5.94
4,1,2000,14,5.92
4,1,2000,15,5.7
4,1,2000,16,5.3
4,1,2000,17,5.16
4,1,2000,18,4.94
4,1,2000,19,4.84
4,1,2000,20,4.56
4,1,2000,21,4.45
4,1,2000,22,4.5
4,1,2000,23,4.73
5,1,2000,0,5.41
5,1,2000,1,6.41
5,1,2000,2,6.57
5,1,2000,3,6.2
5,1,2000,4,6.08
5,1,2000,5,5.78
