day,month,year,hour,humidity
1,1,2000,0,97
1,1,2000,1,97
1,1,2000,2,97
1,1,2000,3,97
1,1,2000,4,97
1,1,2000,5,97
1,1,2000,6,97
1,1,2000,7,97
1,1,2000,8,96
1,1,2000,9,95
1,1,2000,10,95
1,1,2000,11,95
1,1,2000,12,94
1,1,2000,13,92
1,1,2000,14,94
1,1,2000,15,96
1,1,2000,16,97
1,1,2000,17,98
1,1,2000,18,98
1,1,2000,19,98
1,1,2000,20,98
1,1,2000,21,98
1,1,2000,22,98
1,1,2000,23,98
2,1,2000,0,97
2,1,2000,1,97
2,1,2000,2,96
2,1,2000,3,95
2,1,2000,4,95
2,1,2000,5,95
2,1,2000,6,95
2,1,2000,7,95
2,1,2000,8,96
2,1,2000,9,96
2,1,2000,10,95
2,1,2000,11,95
2,1,2000,12,94
2,1,2000,13,93
2,1,2000,14,90
2,1,2000,15,90
2,1,2000,16,90
2,1,2000,17,91
2,1,2000,18,91
2,1,2000,19,92
2,1,2000,20,91
2,1,2000,21,90
2,1,2000,22,90
2,1,2000,23,90
3,1,2000,0,91
3,1,2000,1,91
3,1,2000,2,92
3,1,2000,3,92
3,1,2000,4,92
3,1,2000,5,92
3,1,2000,6,92
3,1,2000,7,91
3,1,2000,8,91
3,1,2000,9,91
3,1,2000,10,90
3,1,2000,11,87
3,1,2000,12,86
3,1,2000,13,83
3,1,2000,14,82
3,1,2000,15,82
3,1,2000,16,81
3,1,2000,17,81
3,1,2000,18,81
3,1,2000,19,82
3,1,2000,20,84
3,1,2000,21,85
3,1,2000,22,86
3,1,2000,23,85
4,1,2000,0,85
4,1,2000,1,85
4,1,2000,2,85
4,1,2000,3,86
4,1,2000,4,87
4,1,2000,5,86
4,1,2000,6,85
4,1,2000,7,86
4,1,2000,8,88
4,1,2000,9,89
4,1,2000,10,91
4,1,2000,11,92
4,1,2000,12,92
4,1,2000,13,92
4,1,2000,14,92
4,1,2000,15,92
4,1,2000,16,93
4,1,2000,17,93
4,1,2000,18,94
4,1,2000,19,94
4,1,2000,20,96
4,1,2000,21,96
4,1,2000,22,96
4,1,2000,23,96
5,1,2000,0,94
5,1,2000,1,92
5,1,2000,2,90
5,1,2000,3,88
5,1,2000,4,87
5,1,2000,5,89
5,1,2000,6,86
5,1,2000,7,83
5,1,2000,8,82
5,1,2000,9,82
5,1,2000,10,83
5,1,2000,11,80
5,1,2000,12,78
5,1,2000,13,76
5,1,2000,14,75
5,1,2000,15,76
5,1,2000,16,78
5,1,2000,17,81
5,1,2000,18,85
5,1,2000,19,88
5,1,2000,20,91
5,1,2000,21,92
5,1,2000,22,92
5,1,2000,23,93
6,1,2000,0,94
6,1,2000,1,94
6,1,2000,2,93
6,1,2000,3,94
6,1,2000,4,94
6,1,2000,5,94
6,1,2000,6,93
6,1,2000,7,93
6,1,2000,8,93
6,1,2000,9,92
6,1,2000,10,92
6,1,2000,11,87
6,1,2000,12,85
6,1,2000,13,83
6,1,2000,14,82
6,1,2000,15,84
6,1,2000,16,87
6,1,2000,17,89
6,1,2000,18,90
6,1,2000,19,92
6,1,2000,20,93
6,1,2000,21,92
6,1,2000,22,93
6,1,2000,23,94
7,1,2000,0,92
7,1,2000,1,92
7,1,2000,2,92
7,1,2000,3,93
7,1,2000,4,94
7,1,2000,5,95
7,1,2000,6,95
7,1,2000,7,95
7,1,2000,8,96
7,1,2000,9,95
7,1,2000,10,95
7,1,2000,11,94
7,1,2000,12,93
7,1,2000,13,92
7,1,2000,14,90
7,1,2000,15,90
7,1,2000,16,90
7,1,2000,17,92
7,1,2000,18,95
7,1,2000,19,95
7,1,2000,20,95
7,1,2000,21,95
7,1,2000,22,95
7,1,2000,23,95
8,1,2000,0,95
8,1,2000,1,95
8,1,2000,2,96
8,1,2000,3,95
8,1,2000,4,95
8,1,2000,5,95
8,1,2000,6,94
8,1,2000,7,94
8,1,2000,8,94
8,1,2000,9,94
8,1,2000,10,92
8,1,2000,11,88
8,1,2000,12,84
8,1,2000,13,81
8,1,2000,14,81
8,1,2000,15,81
8,1,2000,16,82
8,1,2000,17,83
8,1,2000,18,83
8,1,2000,19,84
8,1,2000,20,84
8,1,2000,21,84
8,1,2000,22,85
8,1,2000,23,86
9,1,2000,0,87
9,1,2000,1,89
9,1,2000,2,91
9,1,2000,3,93
9,1,2000,4,94
9,1,2000,5,95
9,1,2000,6,96
9,1,2000,7,97
9,1,2000,8,97
9,1,2000,9,97
9,1,2000,10,98
9,1,2000,11,97
9,1,2000,12,98
9,1,2000,13,96
9,1,2000,14,94
9,1,2000,15,92
9,1,2000,16,92
9,1,2000,17,92
9,1,2000,18,93
9,1,2000,19,94
9,1,2000,20,93
9,1,2000,21,93
9,1,2000,22,93
9,1,2000,23,93
10,1,2000,0,93
10,1,2000,1,93
10,1,2000,2,93
10,1,2000,3,93
10,1,2000,4,93
10,1,2000,5,94
10,1,2000,6,94
10,1,2000,7,95
10,1,2000,8,96
10,1,2000,9,97
10,1,2000,10,98
10,1,2000,11,99
10,1,2000,12,98
10,1,2000,13,98
10,1,2000,14,97
10,1,2000,15,95
10,1,2000,16,92
10,1,2000,17,93
10,1,2000,18,95
10,1,2000,19,95
10,1,2000,20,95
10,1,2000,21,95
10,1,2000,22,94
10,1,2000,23,93
11,1,2000,0,92
11,1,2000,1,92
11,1,2000,2,93
11,1,2000,3,92
11,1,2000,4,92
11,1,2000,5,92
11,1,2000,6,92
11,1,2000,7,92
11,1,2000,8,92
11,1,2000,9,92
11,1,2000,10,91
11,1,2000,11,85
11,1,2000,12,83
11,1,2000,13,80
11,1,2000,14,80
11,1,2000,15,83
11,1,2000,16,87
11,1,2000,17,89
11,1,2000,18,91
11,1,2000,19,94
11,1,2000,20,96
11,1,2000,21,97
11,1,2000,22,98
11,1,2000,23,98
12,1,2000,0,98
12,1,2000,1,98
12,1,2000,2,98
12,1,2000,3,98
12,1,2000,4,98
12,1,2000,5,98
12,1,2000,6,98
12,1,2000,7,97
12,1,2000,8,97
12,1,2000,9,97
12,1,2000,10,96
12,1,2000,11,93
12,1,2000,12,92
12,1,2000,13,89
12,1,2000,14,86
12,1,2000,15,86
12,1,2000,16,87
12,1,2000,17,89
12,1,2000,18,90
12,1,2000,19,90
12,1,2000,20,90
12,1,2000,21,90
12,1,2000,22,90
12,1,2000,23,92
13,1,2000,0,91
13,1,2000,1,89
13,1,2000,2,90
13,1,2000,3,89
13,1,2000,4,89
13,1,2000,5,89
13,1,2000,6,89
13,1,2000,7,89
13,1,2000,8,89
13,1,2000,9,89
13,1,2000,10,87
13,1,2000,11,81
13,1,2000,12,78
13,1,2000,13,74
13,1,2000,14,72
13,1,2000,15,73
13,1,2000,16,75
13,1,2000,17,78
13,1,2000,18,82
13,1,2000,19,84
13,1,2000,20,85
13,1,2000,21,86
13,1,2000,22,86
13,1,2000,23,85
14,1,2000,0,85
14,1,2000,1,85
14,1,2000,2,84
14,1,2000,3,83
14,1,2000,4,81
14,1,2000,5,82
14,1,2000,6,81
14,1,2000,7,80
14,1,2000,8,81
14,1,2000,9,81
14,1,2000,10,81
14,1,2000,11,81
14,1,2000,12,80
14,1,2000,13,80
14,1,2000,14,81
14,1,2000,15,80
14,1,2000,16,82
14,1,2000,17,83
14,1,2000,18,83
14,1,2000,19,84
14,1,2000,20,86
14,1,2000,21,89
14,1,2000,22,89
14,1,2000,23,88
15,1,2000,0,88
15,1,2000,1,91
15,1,2000,2,92
15,1,2000,3,90
15,1,2000,4,90
15,1,2000,5,91
15,1,2000,6,92
15,1,2000,7,92
15,1,2000,8,92
15,1,2000,9,91
15,1,2000,10,91
15,1,2000,11,89
15,1,2000,12,89
15,1,2000,13,90
15,1,2000,14,91
15,1,2000,15,91
15,1,2000,16,89
15,1,2000,17,87
15,1,2000,18,84
15,1,2000,19,82
15,1,2000,20,83
15,1,2000,21,85
15,1,2000,22,87
15,1,2000,23,90
16,1,2000,0,93
16,1,2000,1,94
16,1,2000,2,95
16,1,2000,3,96
16,1,2000,4,96
16,1,2000,5,96
16,1,2000,6,95
16,1,2000,7,95
16,1,2000,8,95
16,1,2000,9,96
16,1,2000,10,96
16,1,2000,11,98
16,1,2000,12,98
16,1,2000,13,98
16,1,2000,14,99
16,1,2000,15,99
16,1,2000,16,99
16,1,2000,17,99
16,1,2000,18,99
16,1,2000,19,99
16,1,2000,20,98
16,1,2000,21,98
16,1,2000,22,97
16,1,2000,23,98
17,1,2000,0,98
17,1,2000,1,98
17,1,2000,2,98
17,1,2000,3,97
17,1,2000,4,97
17,1,2000,5,96
17,1,2000,6,96
17,1,2000,7,95
17,1,2000,8,95
17,1,2000,9,94
17,1,2000,10,94
17,1,2000,11,92
17,1,2000,12,91
17,1,2000,13,90
17,1,2000,14,87
17,1,2000,15,86
17,1,2000,16,85
17,1,2000,17,84
17,1,2000,18,84
17,1,2000,19,83
17,1,2000,20,83
17,1,2000,21,82
17,1,2000,22,83
17,1,2000,23,83
18,1,2000,0,84
18,1,2000,1,84
18,1,2000,2,83
18,1,2000,3,83
18,1,2000,4,84
18,1,2000,5,86
18,1,2000,6,87
18,1,2000,7,87
18,1,2000,8,89
18,1,2000,9,91
18,1,2000,10,91
18,1,2000,11,81
18,1,2000,12,72
18,1,2000,13,60
18,1,2000,14,58
18,1,2000,15,58
18,1,2000,16,59
18,1,2000,17,61
18,1,2000,18,63
18,1,2000,19,65
18,1,2000,20,66
18,1,2000,21,68
18,1,2000,22,69
18,1,2000,23,71
19,1,2000,0,72
19,1,2000,1,74
19,1,2000,2,76
19,1,2000,3,78
19,1,2000,4,80
19,1,2000,5,81
19,1,2000,6,83
19,1,2000,7,85
19,1,2000,8,87
19,1,2000,9,88
19,1,2000,10,87
19,1,2000,11,82
19,1,2000,12,76
19,1,2000,13,71
19,1,2000,14,69
19,1,2000,15,67
19,1,2000,16,67
19,1,2000,17,67
19,1,2000,18,69
19,1,2000,19,72
19,1,2000,20,76
19,1,2000,21,80
19,1,2000,22,84
19,1,2000,23,87
20,1,2000,0,87
20,1,2000,1,87
20,1,2000,2,85
20,1,2000,3,83
20,1,2000,4,81
20,1,2000,5,83
20,1,2000,6,88
20,1,2000,7,92
20,1,2000,8,94
20,1,2000,9,94
20,1,2000,10,93
20,1,2000,11,92
20,1,2000,12,91
20,1,2000,13,93
20,1,2000,14,95
20,1,2000,15,95
20,1,2000,16,94
20,1,2000,17,95
20,1,2000,18,95
20,1,2000,19,94
